title,arist,lyrics
Touch Of Heaven (Live Acoustic),Hillsong Worship,"How I live for the moments
Where I'm still in Your presence
All the noise dies down
Lord, speak to me now
You have all my attention
I will linger and listen
I can't miss a thing

Lord, I know my heart wants more of You
My heart wants something new
So I surrender all

All I want is to live within Your love
Be undone by who You are
My desire is to know You deeper
Lord, I will open up again
Throw my fears into the wind
I am desperate for a touch of heaven

You're the fire in the morning
You're the cool in the evening
The breath in my soul
Oh, the life in my bones
There is no hesitation
In Your love and affection
It's the sweetest of all

Lord, I know my heart wants more of You
My heart wants something new
So I surrender all

And all I want is to live within Your love
Be undone by who You are
My desire is to know You deeper
Lord, I will open up again
Throw my fears into the wind
I am desperate for a touch of heaven

I'll open up my heart to You
I'll open up my heart to You now
So do what only You can
Jesus, have Your way in me now

I'll open up my heart to You
I'll open up my heart to You now
So do what only You can
Jesus, have Your way in me now

'Cause all I want is to live within Your love
Be undone by who You are
My desire is to know You deeper
Lord, I will open up again
Throw my fears into the wind
I am desperate for a touch of heaven

'Cause all I want is to live within Your love
Be undone by who You are
My desire is to know You deeper
Lord, I will open up again
Throw my fears into the wind
I am desperate for a touch of heaven"
I Feel It Coming,The Weeknd,"[The Weeknd:]
Tell me what you really like
Baby I can take my time
We don't ever have to fight
Just take it step-by-step
I can see it in your eyes
Cause they never tell me lies
I can feel that body shake
And the heat between your legs

You've been scared of love and what it did to you
You don't have to run, I know what you've been through
Just a simple touch and it can set you free
We don't have to rush when you're alone with me

I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe

You are not the single type
So baby, this the perfect time
I'm just trying to get you high
And faded off this touch
You don't need a lonely night
So baby, I can make it right
You just got to let me try
To give you what you want

You've been scared of love and what it did to you
You don't have to run, I know what you've been through
Just a simple touch and it can set you free
We don't have to rush when you're alone with me

[The Weeknd:]
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe

[Daft Punk:]
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe

[The Weeknd:]
You've been scared of love
And what it did to you
You don't have to run
I know what you've been through
Just a simple touch
And it can set you free
We don't have to rush
When you're alone with me

[The Weeknd & Daft Punk:]
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I know what you feel right now
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I know what you say right now, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I know what you say right now, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe

[Daft Punk:]
I feel it coming, babe
I feel it coming, babe
I feel it coming, babe
I feel it coming, babe"
Love Won't Let Me Down,Hillsong Young & Free,"When I was searching
Your love was never far
You made a way to get to me
You were the whisper
Leading me to Your heart
Forever I belong to You

Now I can see clearly
My God You are for me
You won't let go

Your love won't let me down
And I know it's true
Yeah, I know that Your
Love is all around
I believe in You
Holding on to You
Holding on and I know You will never fail
I want all of You
You never change
Your love won't let me down
Love won't let me down

Love won't let me
Love won't let me

Right when I need You
You listen as I pray
You'd leave the ninety-nine for me
You paint the sky with
Promises of Your grace
So I would find my way to You

Now I can see clearly
My God You are for me
You won't let go

Your love won't let me down
And I know it's true
Yeah, I know that Your
Love is all around
I believe in You
Holding on to You
Holding on and I know You will never fail
I want all of You
You never change
Your love won't let me down
Love won't let me down

Love won't let me
Love won't let me

Holding on and I know You will never fail
I want all of You
You never change
Your love won't let me down
Love won't let me"
Paris In The Rain,Lauv,"All I know is
We could go anywhere, we could do
Anything, girl, whatever the mood we're in
Yeah, all I know is
Getting lost late at night under stars
Finding love standing right where we are
Your lips, they pull me in the moment
You and I alone and
People may be watching, I don't mind

'Cause anywhere with you feels right
Anywhere with you feels like Paris in the rain, Paris in the rain
We don't need a fancy town or bottles that we can't pronounce
'Cause anywhere babe is like Paris in the rain
When I'm with you, when I'm with you
Paris in the rain, Paris in the rain

I look at you now and I want this forever
I might not deserve it but there's nothing better
Don't know how I ever did it all without you
My heart is about to, about to jump out of my chest
Feelings, they come and they go, that they do
Feelings, they come and they go, not with you
The late nights and the street lights and the people
Look at me girl and the whole world could stop

Anywhere with you feels right
Anywhere with you feels like Paris in the rain, Paris in the rain
We don't need a fancy town or bottles that we can't pronounce
'Cause anywhere babe is like Paris in the rain
When I'm with you, when I'm with you
Paris in the rain, Paris in the rain, oh

Girl when I'm not with you
All I do is miss you
So come and set the mood right underneath the moonlight
Days in Paris, nights in Paris
Paint you with my eyes closed
Wonder where the time goes
(Isn't it obvious?)
(Isn't it obvious?)
So come and set the mood right underneath the moonlight

'Cause anywhere with you feel right
Anywhere with you feels like Paris in the rain, Paris in the rain
Walking down an empty street
Puddles underneath our feet"
Have You Ever Seen The Rain,Rod Stewart,"Someone told me long ago
There's a calm before the storm,
I know;
It's been comin' for some time.
When it's over, so they say,
It'll rain a sunny day,
I know;
Shinin' down like water.

[Chorus:]
I want to know, have you ever seen the rain?
I want to know, have you ever seen the rain
Comin' down on a sunny day?

Yesterday, and days before,
Sun is cold and rain is hard,
I know;
Been that way for all my time.
'Til forever, on it goes
Through the circle, fast and slow,
I know;
It can't stop, I wonder.

[Chorus]

Yeah!

[Chorus]"
Come Together,The Beatles,"Here come old flat top
He come grooving up slowly
He got joo joo eyeball
He one holy roller
He got hair down to his knee
Got to be a joker he just do what you please.

He wear no shoe shine
He got toe jam football
He got monkey finger
He shoot Coca-Cola
He say I know you, you know me
One thing I can tell you is you got to be free
Come together right now over me

He bag production
He got walrus gumboot
He got Ono sideboard
He one spinal cracker
He got feet down below his knee
Hold you in his armchair you can feel his disease
Come together right now over me

Right!
Come
Come...
Come...
Come...

He roller coaster
He got early warning
He got Muddy Water
He one Mojo filter
He say. ""One and one and one is three""
Got to be good looking 'cause he so hard to see
Come together right now over me

Oh!
Come together
Yeah
Come together
Yeah
Come together
Yeah
Come together
Yeah
Come together
Yeah
Come together
Yeah
Come together
Yeah
Ahh
Come together
Yeah
Come together..."
Bet You Won't,Chamillionaire,"I bet you won't
I bet you won't
I bet you, I bet you, I bet you, I bet you

Man these rappers ain't saying nothing
Every verse is a damn lie
Your position is pro voice
My position is anti
Swear they tellin these stories to you
These rappers full of that mantie
Can't stop me they can try
But I'm winning up by that landslide

Y'all worse than that tie tanning
Get a ship but it won't sail
Y'all posting on snitchagram
Why you saying you don't tell
These boys they got no stamps
They don't really touch no mail
I'm still trying to get super poster
Still fill up under her oh well

All talking like he the man
Y'all softer than Peter Pan
So many fish in my fishtank
And my crib she talking about eating in
Call me up sure be to spend
Got money treating pass me your lamb
Play me hoe we won't meet again
And my knuckles probably gonna beat your chin

Get it off for my plan A
Never needed that B row
I ain't never even shed a tear
When anybody ever said peace out
Made a hit with my freestyles
They ain't talking about free now
They always told me that money talks
So I always got it on speed dial

I'm trying to work she trying to play
Treat the bank just like a hotter wave
And I'm showing up just like a holiday
But I'm back to work I'm not trying to stay
My money day is my kind of day
Very large is my kind of pay
Tell avado I'm not the best
I bet he was fond of you cayate

Wonder why I'm ahead of them
Talking down then I ended them
They try to say that they on your side
But switch back and forth just like pendulums
Bought your strap and extended 'em
New cars when they rented them
Our old schools look so cool
That you probably thought we invented them

Steal a heart but I'm not thief
Star snatching is so weak
You ain't gotta thank me for it
Just show respect to my OG
I drop it off in your OD
Veteran but I'm cold beat
They keep saying I don't drop
So might drop another in 4 weeks

Chamilitary go so beast
Freestyle on your beats
Gotta take it out of my 2 hands
And that's the reason it don't leak
2 businesses out of state
No card that's out of date
I've been stuntin on 'em since '98
If you tryin' to hate then you kinda late

Hit Brazil and take frequent trips
Groupies all on that freaky tip
Say goodnight and then take a flight
When I disappear you can't keep a chip
Let me tell you how deep it get
This is more about keeping it
Take a pocket then strippen it
Then I put the profit down deep in it

Your girl talking about orgies
Rather go get more G's
Duplicate how I rep the state
We need less of them and need more of me
Spit a verse then it's for a free
Tryin to do it before hopefully
No trick or treat in my clickazie
And I'm feeling like it's your boy D

Sip patrone while they copy
Call me up and say papi
Knowing that I might store so they tryna
Block me like we play hockey
Pocket got me like Gretzky
Where the hell is my SB
I use sandboat to that paper
Going go and tell them come catch me

Don't talk about financials
Tell me what your man do
Unless you got your own dough
And you make enough cash to brag to
Hope your rent ain't pass due
Hope your shape is natural
Can't say you're a model
Even if that shit was in your bathroom

Why everybody got to be the same
Every group got to be a game
Every rapper got to be a rapper
And every rapper got to be a lame
Love my jewelry that's cool
She gonna catch a bad flu
But if my wrist ain't sick enough
Then my whip gonna make her hat you

Everything happen for a purpose
Obvious they didn't mean your verses
Every verse that y'all spit is worthless
And they couldn't pay me to give you a purchase
Every verse they say Cham is ripping
Say it's false if they tell you different
I'm still a Jordan grand and a Pippen
Up man your scripts don't have me trippin"
when the party's over,Lewis Capaldi,"Don't you know I'm no good for you?
I've learned to lose you can't afford to
Tore my shirt to stop you bleeding
But nothing ever stops you leaving

Quiet when I'm coming home and I'm on my own
And I could lie, say I like it like that, like it like that
And I could lie, say I like it like that, like it like that

Don't you know too much already?
I'll only hurt you if you let me
Call me friend, but keep me closer
And I'll call you when the party's over

Quiet when I'm coming home and I'm on my own
And I could lie, say I like it like that, like it like that
And I could lie, say I like it like that, like it like that

But nothing is better, sometimes
Once we've both said our goodbyes
Let's just let it go
Let me let you go

Quiet when I'm coming home and I'm on my own
Quiet when I'm coming home and I'm on my own
Quiet when I'm coming home and I'm on my own
Quiet when I'm coming home and I'm on my own
And I could lie, say I like it like that, like it like that
And I could lie, say I like it like that, like it like that

Quiet when I'm coming home and I'm on my own"
No Tears,Rilès,"I ain't got no one to fear
I ain't impressed anymore
I don't see but I feel
Sour energy brought me there
Search into you and the paper's gon fill up itself
So fuck if you curse when I flex
Fuck I'm not kind and stupid, better serve me respect
I think I'm good at feeling bad
Don't be too nice when scavengers are ready to bounce
I picture plans in my head
Darker than Dinka
Venom pushing up my edges
I won't let dirt on my name
Do it for fun
'Front of me bitch you bargain
I ain't got a lot to sing
Still alive just for the hate that I hate, bitch
You gon' remember the name
Jungle ain't shit when you're beaten all over again
Smoking the shine in my eyes and I'm left with some apeshit
Enlighten but thoughts are the darkest
Wildin' everywhere but in the jungle
Come to R city we 'bout to fuck the freckles of your face
In you flaws you don't wanna, wanna
Racing against myself faster, faster
If I slow down it's the ganja, ganja
If I fuck up it's the karma, karma

No tears falling down my eyes
No fear left into my mind
All this evil turned me blind
I need to run towards the light
No tears falling down my eyes
No fear left into my mind
All this evil turned me blind
I need to run towards the light

Promise me you won't be falling
Say to me you are my greatest opponent
I keep the backbone solid
Tahia Djazaïr
Baba grew up in the sand and the mountains
Fuck what you heard if you hear what you're saying
Didn't like my song
You said ""this shit's amazing""
I'm tired of the Yes-men
I'm tired of the Yasminas
Tired of the elephantshit I see

Ouh skibidibam
Back in her pussy it has been while (while)
Ouh shaking new hands
Fucking new bitches and making new songs (muy bien)
Ouh back and I run
Feel like my libido me never done
Why you keep on running when your legs already broken?

Now I'm putting down the 'juana
Back to the hagla
Is you really? I said kinda
Pray that my sins never come back
Bypass the drama
Look ain't no blood on my contracts
And imma dance like a warrior
Salam hyenas
You cannot switch off the phoenix
This ain't no threat but my simple statement
Welcome to the jungle Rilès vs Satan

No tears falling down my eyes
No fear left into my mind
All this evil turned me blind
I need to run towards the light
No tears falling down my eyes
No fear left into my mind
All this evil turned me blind
I need to run towards the light"
Come Out And Play,Billie Eilish,"Wake up and smell the coffee
Is your cup half full or empty?
When we talk, you say it softly
But I love it when you're awfully quiet, quiet

You see a piece of paper
Could be a little greater
Show me what you could make her
You'll never know until you try it
You don't have to keep it quiet

And I know it makes you nervous
But I promise you, it's worth it
To show 'em everything you kept inside
Don't hide, don't hide
Too shy to say, but I hope you stay
Don't hide away
Come out and play

Look up, out of your window
See snow, won't let it in though
Leave home, feel the wind blow
'Cause it's colder here inside in silence
You don't have to keep it quiet

Yeah, I know it makes you nervous
But I promise you, it's worth it
To show 'em everything you kept inside
Don't hide, don't hide
Too shy to say but I hope you stay
Don't hide away
Come out and play"
Ghost,Au/Ra & Alan Walker,"Today I'm kinda feelin' like a ghost
Call my friends but ain't nobody home
Tell myself I'm fine, but I don't really know
I'm just scared that I'll end up
I'll end up, I'll end up alone

I never let it show
But I feel like a missed call on a phone
Tryna live my life pay as you go
But I'm so scared that I'll end up
I'll end up, I'll end up alone

You know I'm like a ghost
Sometimes I have to fade
And it haunts me that I have to be this way
You say it's gone cold
I say I'll do better
But I always seem to disappear again
You know I'm like a ghost
I see it in your face
And it haunts me that I have to be this way
You say it's gone cold
I say I'll do better
But I always seem to disappear again
You know I'm like a ghost...

You know I never meant to cut you off
Got phantom feelings I can never stop
Stranger things to worry 'bout I know
But I'm so scared that I'll end up
I'll end up, I'll end up alone

I can't see myself in the mirror
Does that mean I'm not really here?
I'm losin' touch with everything I know
And I'm so scared that I'll end up
I'll end up, I'll end up alone

You know I'm like a ghost
Sometimes I have to fade
And it haunts me that I have to be this way
You say it's gone cold
I say I'll do better
But I always seem to disappear again
You know I'm like a ghost
I see it in your face
And it haunts me that I have to be this way
You say it's gone cold
I say I'll do better
But I always seem to disappear again
You know I'm like a ghost

You know I'm like a ghost...
Ooh, I'll be OK
I'll be alright
I know, Ooh, I'll be OK

I'm just scared that I'll end up alone

You know I'm like a ghost
I see it in your face
And it haunts me that I have to be this way
You say it's gone cold
I say I'll do better
But I always seem to disappear again
You know I'm like a ghost"
Lily,"Alan Walker, K-391 & Emelie Hollow","Lily was a little girl
Afraid of the big, wide world
She grew up within her castle walls
Now and then she tried to run
And then on the night with the setting sun
She went in the woods away
So afraid, all alone

They warned her, don't go there
There's creatures who are hiding in the dark
Then something came creeping
It told her, don't you worry just

Follow everywhere I go
Top of all the mountains or valley low
Give you everything you've been dreaming of
Just let me in, ooh
Everything you want in gold
I'll be the magic story you've been told
And you'll be safe under my control
Just let me in, ooh
Just let me in, ooh

She knew she was hypnotized
And walking on cold thin ice
Then it broke, and she awoke again

Then she ran faster and
Start screaming, is there someone out there?
Please help me, come get me
Behind her, she can hear it say

Follow everywhere I go
Top of all the mountains or valley low
Give you everything you've been dreaming of
Just let me in, ooh
Everything you want in gold
I'll be the magic story you've been told
And you'll be safe under my control
Just let me in, ooh
Just let me in, ooh

Everything you want in gold
I'll be the magic story you've been told
And you'll be safe under my control
Just let me in, ooh

Follow everywhere I go
Top of all the mountains or valley low
Give you everything you've been dreaming of
Just let me in, ooh
Then she ran faster and
Start screaming, is there someone out there?
Please help me
Just let me in, ooh"
none,none,none
