title,arist,lyrics
Evolution Of Ariana Grande,Pentatonix,"[""The Way"": Mitch Grassi and Scott Hoying]
You give me that kinda somethin'
Want it all the time, need it every day
On a scale of one to ten Iím at a 100
Never get enough, I canít stay away
I love the way you make me feel
I love it, I love it
I love the way you make me feel
I love it, I love it

[""Baby I"": All]
Every time I try to say it
Words, they only complicate it
Baby, baby

[""Right There"": Scott Hoying]
You should know
I'm never gonna change
I'll always be the same
When you call for me
I'm right there, I'm right there

[""Problem"": All]
One less, one less

[""One Last Time"": All]
One last time
I need to be the one who takes you home

[""Break Free"": Scott Hoying]
This is the part where I say I don't want you
I'm stronger than I've been before
This is the part where I break free
'Cause I can't resist it no more

[""Love Me Harder"": Kirstin Maldonado]
If you wanna keep me
You gotta, gotta, gotta, gotta, gotta love me harder

[""Dangerous Woman"": All & Mitch Grassi]
Something 'bout you
Makes me feel like a dangerous woman
Something 'bout, something 'bout, something 'bout

[""Into You"": Matt Salee & All]
And I'm so into you
Into you, into you, into you

[""Be Alright"": Mitch Grassi & All]
We're gonna be alright
Baby, don't you know
All of them tears gon' come and go
Baby, you just gotta make up your mind
That every little thing is gonna be alright

[""Side To Side"": Scott Hoying]
Been here all day
And boy, you got me -

[""Bad Decisions"": All]
Making bad decisions

[""Greedy"": All]
Greedy, ooh
You know that I'm greedy for love

[""Raindrops"": Mitch Grassi]
When raindrops fell
Down from the sky
The day you left me
An angel cried

[""No Tears Left To Cry"": Kirstin Maldonado and Scott Hoying]
Oh, I just want you to come with me
We're on another mentality
I'm pickin' it up, pickin' it up
I'm lovin', I'm livin', I'm pickin' it up

[""God Is A Woman"": All & Mitch Grassi]
God is a woman
God is a woman
God is a woman
God is a woman, one
It lingers when we're done

[""Get Well Soon"": Matt Salee]
You can feel it, feel it

[""Goodnight N Go"": Kirstin Maldonado]
Say goodnight and go

[""Breathin"": Scott Hoying & All]
Some days things just take
Way too much of my energy
I look up and the whole room's spinning
Just keep breathing and breathing and breathing and breathing
You know you gotta keep on, keep on breathing

[""The Light Is Coming"": Kirstin Maldonado]
The light is coming to give back everything the darkness stole

[""R.E.M."": Mitch Grassi]
Excuse me, um

[""Successful"": All]
It feels so good to be this young and have this fun
And be successful, I'm so successful

[""7 rings"": Mitch Grassi]
Breakfast at Tiffany's and bottles of bubbles
Girls with tattoos who like getting in trouble
Lashes and diamonds, ATM machines
Buy myself all of my favorite things

[""NASA"": All]
N-A-S-A

[""break up with your girlfriend, i'm bored"": Kirstin Maldonado]
Break up with your girlfriend
Yeah, yeah, 'cause I'm bored

[""bad idea"": Kirstin Maldonado & All]
I got a bad idea
Forget about it, yeah
Forget about him, yeah
Forget about me

[""bloodline"": Mitch Grassi]
Don't want you in my bloodline, yeah
Just wanna have a good time, yeah
And no need to apologize

[""fake smile"": Mitch Grassi]
With a fake smile

[""needy"": Scott Hoying]
I can be needy
Way too damn needy
I can be needy
Tell me how good it feels to be needed

[""imagine"": Kirstin Maldonado & Scott Hoying and Mitch Grassi]
Imagine a world like that
A world like that
Imagine a world like that

[""thank u, next"": Mitch Grassi & All]
Thought I'd end up with Sean
But he wasn't a match
Wrote some songs about Ricky
Now I listen and laugh
Even almost got married
And for Pete, I'm so thankful
Wish I could say, ""Thank you"" to Malcolm
'Cause he was an angel
And for that, I say
Thank you, next

[""Honeymoon Avenue"": Kirstin Maldonado]
We were on honeymoon avenue

[""thank u, next"": Mitch Grassi]
Thank you, next

[""No Tears Left To Cry"": Scott Hoying]
Ain't got no tears left to cry

[""thank u, next"": Mitch Grassi]
I'm so, I'm so grateful for my ex

[""Be Alright"": All]
We're gonna be alright

[""thank u, next"": Mitch Grassi]
Thank you, next

[""MONOPOLY"": Scott Hoying]
I been on the road, where you been?

[""thank u, next"": Mitch Grassi & Kirstin Maldonado]
Thank you, next
Thank you, next

[""The Way"": All]
I love the way you make me feel"
Evolution Of Ariana Grande,Pentatonix,"[""The Way"": Mitch Grassi and Scott Hoying]
You give me that kinda somethin'
Want it all the time, need it every day
On a scale of one to ten Iím at a 100
Never get enough, I canít stay away
I love the way you make me feel
I love it, I love it
I love the way you make me feel
I love it, I love it

[""Baby I"": All]
Every time I try to say it
Words, they only complicate it
Baby, baby

[""Right There"": Scott Hoying]
You should know
I'm never gonna change
I'll always be the same
When you call for me
I'm right there, I'm right there

[""Problem"": All]
One less, one less

[""One Last Time"": All]
One last time
I need to be the one who takes you home

[""Break Free"": Scott Hoying]
This is the part where I say I don't want you
I'm stronger than I've been before
This is the part where I break free
'Cause I can't resist it no more

[""Love Me Harder"": Kirstin Maldonado]
If you wanna keep me
You gotta, gotta, gotta, gotta, gotta love me harder

[""Dangerous Woman"": All & Mitch Grassi]
Something 'bout you
Makes me feel like a dangerous woman
Something 'bout, something 'bout, something 'bout

[""Into You"": Matt Salee & All]
And I'm so into you
Into you, into you, into you

[""Be Alright"": Mitch Grassi & All]
We're gonna be alright
Baby, don't you know
All of them tears gon' come and go
Baby, you just gotta make up your mind
That every little thing is gonna be alright

[""Side To Side"": Scott Hoying]
Been here all day
And boy, you got me -

[""Bad Decisions"": All]
Making bad decisions

[""Greedy"": All]
Greedy, ooh
You know that I'm greedy for love

[""Raindrops"": Mitch Grassi]
When raindrops fell
Down from the sky
The day you left me
An angel cried

[""No Tears Left To Cry"": Kirstin Maldonado and Scott Hoying]
Oh, I just want you to come with me
We're on another mentality
I'm pickin' it up, pickin' it up
I'm lovin', I'm livin', I'm pickin' it up

[""God Is A Woman"": All & Mitch Grassi]
God is a woman
God is a woman
God is a woman
God is a woman, one
It lingers when we're done

[""Get Well Soon"": Matt Salee]
You can feel it, feel it

[""Goodnight N Go"": Kirstin Maldonado]
Say goodnight and go

[""Breathin"": Scott Hoying & All]
Some days things just take
Way too much of my energy
I look up and the whole room's spinning
Just keep breathing and breathing and breathing and breathing
You know you gotta keep on, keep on breathing

[""The Light Is Coming"": Kirstin Maldonado]
The light is coming to give back everything the darkness stole

[""R.E.M."": Mitch Grassi]
Excuse me, um

[""Successful"": All]
It feels so good to be this young and have this fun
And be successful, I'm so successful

[""7 rings"": Mitch Grassi]
Breakfast at Tiffany's and bottles of bubbles
Girls with tattoos who like getting in trouble
Lashes and diamonds, ATM machines
Buy myself all of my favorite things

[""NASA"": All]
N-A-S-A

[""break up with your girlfriend, i'm bored"": Kirstin Maldonado]
Break up with your girlfriend
Yeah, yeah, 'cause I'm bored

[""bad idea"": Kirstin Maldonado & All]
I got a bad idea
Forget about it, yeah
Forget about him, yeah
Forget about me

[""bloodline"": Mitch Grassi]
Don't want you in my bloodline, yeah
Just wanna have a good time, yeah
And no need to apologize

[""fake smile"": Mitch Grassi]
With a fake smile

[""needy"": Scott Hoying]
I can be needy
Way too damn needy
I can be needy
Tell me how good it feels to be needed

[""imagine"": Kirstin Maldonado & Scott Hoying and Mitch Grassi]
Imagine a world like that
A world like that
Imagine a world like that

[""thank u, next"": Mitch Grassi & All]
Thought I'd end up with Sean
But he wasn't a match
Wrote some songs about Ricky
Now I listen and laugh
Even almost got married
And for Pete, I'm so thankful
Wish I could say, ""Thank you"" to Malcolm
'Cause he was an angel
And for that, I say
Thank you, next

[""Honeymoon Avenue"": Kirstin Maldonado]
We were on honeymoon avenue

[""thank u, next"": Mitch Grassi]
Thank you, next

[""No Tears Left To Cry"": Scott Hoying]
Ain't got no tears left to cry

[""thank u, next"": Mitch Grassi]
I'm so, I'm so grateful for my ex

[""Be Alright"": All]
We're gonna be alright

[""thank u, next"": Mitch Grassi]
Thank you, next

[""MONOPOLY"": Scott Hoying]
I been on the road, where you been?

[""thank u, next"": Mitch Grassi & Kirstin Maldonado]
Thank you, next
Thank you, next

[""The Way"": All]
I love the way you make me feel"
Lay Me Down,Sam Smith,"Yes, I do, I believe
That one day I will be
Where I was right there
Right next to you

And it's hard
The days just seem so dark
The moon and the stars
Are nothing without you

Your touch, your skin
Where do I begin?
No words can explain
The way I'm missing you

Deny this emptiness
This hole that I'm inside
These tears
They tell their own story

Told me not to cry when you were gone
But the feeling's overwhelming, it's much too strong

Can I lay by your side?
Next to you, you
And make sure you're alright
I'll take care of you
I don't want to be here if I can't be with you tonight

I'm reaching out to you
Can you hear my call?
This hurt that I've been through
I'm missing you, missing you like crazy

[This verse is only in the album version:]
You told me not to cry when you were gone
But the feeling's overwhelming, it's much too strong

Can I lay by your side?
Next to you, you
And make sure you're alright
I'll take care of you
I don't want to be here if I can't be with you tonight

Lay me down tonight
Lay me by your side
Lay me down tonight
Lay me by your side
Can I lay by your side?
Next to you
You"
Make It To Me,Sam Smith,"My mind runs away to you
With a thought I'd hope you'll see
Can't see where it's wandered to
But I know where it wants to be

I'm waiting patiently though time is moving slow
I have one vacancy and I wanted you to know that

You're the one designed for me
A distant stranger that I will complete
I know you're out there, we're meant to be
So keep your head up and make it to me
And make it to me

So sick of this lonely air
It seems such a waste of breath
So much that I need to share
So much to get off my chest

I'm waiting patiently though time is moving slow
I have one vacancy and I wanted you to know that

You're the one designed for me
A distant stranger that I will complete
I know you're out there, we're meant to be
So keep your head up and make it to me
Make it to me
Make it to me
Make it to me"
If You Could See Me Now,The Script,"(Oh if you could see me now)

(Oh if you could see me now)

It was February 14 Valentine's Day
The roses came but they took you away
Tattooed on my arm is a charm to disarm all the harm
Gotta keep myself calm but the truth is you're gone
And I'll never get to show you these songs
Dad you should see the tours that I'm on
I see you standing there next to Mom
Both singing along, yeah arm in arm
Now there are days when I'm losing my faith
Because the man wasn't good he was great
He'd say ""Music was the home for your pain""
And explain I was young, he would say,
""Take that rage, put it on a page.
Take the page to the stage.
Blow the roof off the place.""
I'm trying to make you proud
Do everything you did
I hope you're up there with God saying, ""That's my kid!""

[Chorus:]
I still look for your face in the crowd
Oh if you could see me now (Oh if you could see me now)
Would you stand in disgrace or take a bow?
Oh if you could see me now (Oh if you could see me now)

(Oh if you could see me now)

If you could see me now would you recognize me?
Would you pat me on the back or would you criticize me?
Would you follow every line on my tear-stained face
Put your hand on a heart that was cold
As the day you were taken away?
I know it's been a while but I can see you clear as day
Right now, I wish I could hear you say
I drink too much, and I smoke too much dutch
But if you can't see me now that shit's a must
You used to say I won't know a win until it cost me
Like I won't know real love 'til I've loved and I've lost it
So if you've lost a sister, someone's lost a mom
And if you've lost a dad then someone's lost a son
And they're all missing out, yeah they're all missing out
So if you get a second to look down on me now
Mom, Dad I'm just missing you now

I still look for your face in the crowd
Oh if you could see me now (Oh if you could see me now)
Would you stand in disgrace or take a bow?
Oh if you could see me now (Oh if you could see me now)

Oh, oh
Would you call me a saint or a sinner?
Would you love me a loser or winner?
Oh, oh
When I see my face in the mirror
We look so alike that it makes me shiver

I still look for your face in the crowd
Oh if you could see me now (Oh if you could see me now)
Would you stand in disgrace or take a bow?
Oh if you could see me now (Oh if you could see me now)
Yeah I'm just missing you now

I still look for your face in the crowd
Oh if you could see me now (Oh if you could see me now)
Would you stand in disgrace or take a bow?
Oh if you could see me now (Oh if you could see me now)

You could see, you could see me now [2x]"
Sweet Hurricane,Phum Viphurit,"I was sailing alone
You came along
I'm singing the song you wrote
You led the way
I couldn't say
Words became lumps in my throat

I, I'm loving this sweet hurricane
In time, I know we'll meet once again

When you're alone
It's with you, I belong

Stories we told
Will never get old
Though the fire's gone cold, you're my flame

I, I'm loving this sweet hurricane
In time, I know we'll meet once again"
Whole Heart (Hold Me Now),Hillsong United,"Hold me now
In the hands that created the heavens
Find me now
Where the grace runs as deep as Your scars
You pulled me from the clay
You set me on a rock
Called me by Your Name
And made my heart whole again

Lifted up
And my knees know it's all for Your glory
I might stand
With more reasons to sing than to fear
You pulled me from the clay
Set me on a rock
Called me by Your Name
And made my heart whole again

So here I stand
High in surrender
I need You now
Hold my heart
Now and forever
My soul cries out

Once I was broken
But You loved my whole heart through
Sin has no hold on me
'Cause Your grace holds me now

And that grace
Owns the ground where the grave did
Where all my shame remains
Left for dead in Your wake
You crashed those age-old gates
You left no stone unturned
You stepped out of that grave
And shouldered me all the way

So here I stand
High in surrender
I need You now
Hold my heart
Now and forever
My soul cries out

Once I was broken
But You loved my whole heart through
Sin has no hold on me
'Cause Your grace holds me now

Healed and forgiven
Look where my chains are now
Death has no hold on me
'Cause Your grace holds that ground
And Your grace holds me now
Your grace holds me now
Your grace holds me now
Your grace holds me now

So here I stand
High in surrender
I need You now
Hold my heart
Now and forever
My soul cries out

So here I stand
High in surrender
I need You now
Hold my heart
Now and forever
My soul cries out

So here I stand
High in surrender
I need You now
Hold my heart
Now and forever
My soul cries out

So here I stand
High in surrender
I need You now
Hold my heart
Now and forever
My soul cries out

Once I was broken
But You loved my whole heart through
Sin has no hold on me
'Cause Your grace holds me now

Healed and forgiven
Look where my chains are now
Death has no hold on me
'Cause Your grace holds that ground
And Your grace holds me now
Your grace holds me now
Your grace holds me now
Your grace holds me now

Healed and forgiven
Look where my chains are now
Death has no hold on me
'Cause Your grace holds that ground
And Your grace holds me now
Your grace holds me now"
none,none,none
Nervous,Gavin James,"I promise that I'll hold you when it's cold out
When we lose our winter coats in the spring
Cause lately I was thinking I never told you
That every time I see you my heart sings

Cause we lived at the carnival in summer
We scared ourselves to death on a ghost train
And just like every ferris wheel stops turning
Oh I guess we had an expiration date
So I won't say I love you, it's too late

And oooooooooh
Ooooohohoooooh
And oooohoooooooh
Ohoooohohohoooooh

Cause every time I saw you I got nervous
Shivering and shaking at the knees
And just like every song I haven't heard yet no
I didn't know the words in front of me
In front of me, and oooooooh
But I don't wanna know

Who'll take you home?
Who'll take you home?
Who'll take you home?
Hoooooome
If I let you gooooooooooo

And oooooohhhhh
And oooooohhhhh
And oooooohhhhh
Oooooooohooooohoohhhh

Now that you're on someone else's shoulders
The winter winds are colder on my own
Maybe we will meet when we get older
Maybe we won't
So I won't say I love you if you don't
And no you don't
So I won't say I love you if you don't"
none,none,none
Adore,Phum Viphurit,"The clouds are changing
The storm, she's coming, quick hide
But who needs the shelter
When you are by my side

You had me at hello
You caught me by surprise
Oh how I lost my senses
When I met those hazel eyes

Woah...
Oh what a shame, we are parting ways
In a time set for us two
But if you should ask me
Do I adore you?
I think you know I do

I think you know I do-dodo-do-do-doo
I do-dodo-dodo-do-doo
I do-dodo-do-do-doo
Do-do-do-dooo
You know I do-dodo-dodo-doo
I do-dodo-dodo-do-doo
I do-dodo-do-do-doo do-do-do-doo

I'd build you castles and endless daisy chains
Mend all that's broken, for you love I will regain
(For your love, I will regain...)

Oh what a shame, we are parting ways
In a time set for us two
But if you should ask me
Do I adore you
I think you know I do

I think you know I do-dodo-do-do-doo
I do-dodo-dodo-do-doo
I do-dodo-do-do-doo
Do-do-do-dooo
You know I do-dodo-dodo-doo
I do-dodo-dodo-do-doo
I do-dodo-do-do-doo do-do-do-doo

This wind is cold
Our love is old
Do you remember?
Remember me

Oh what a shame, we are parting ways
In a time set for us two
But if you should ask me
Do I adore you
I think you know I

I think you know I
Oh what a shame, we are parting ways
In a time set for us two
But if you should ask me
Do I adore you
I think you know I do

I think you know I do-dodo-do-do-doo
I do-dodo-dodo-do-doo
I do-dodo-do-do-doo
Do-do-do-dooo
You know I do-dodo-dodo-doo
I do-dodo-dodo-do-doo
I do-dodo-do-do-doo do-do-do-doo
Hoo..."
In My Head,Jason Derulo,"Jason Der¸lo.
Beluga Heights.
J. J. J. J. J. R.
Come on.

Everybody's looking for love.
Ain't that the reason you're at this club.
You ain't gon' find it dancing with him. No.
I've got a better solution for you, girl.

Just leave with me now. Say the word and we'll go.
I'll be your teacher. I'll show you the ropes.
You'll see a side of love you've never known.
I can see it going down, going down.

In my head I see you all over me.
In my head you fulfill my fantasy.
In my head you'll be screaming more.
In my head it's going down.
In my head it's going down.
In my head. In my head.

Come on.

Some dudes know all the right things to say.
When it comes down to it, it's all just game.
Instead of talking let me demonstrate.
Get down to business and skip foreplay.

Just leave with me now. Say the word and we'll go. We can go.
I'll be your teacher. I'll show you the ropes.
You'll see a side of love you've never known.
I can see it going down, going down.

In my head I see you all over me. Baby, all over me.
In my head you fulfill my fantasy.
In my head you'll be screaming more.
In my head it's going down.
In my head it's going down.
In my head.

Break it down. Come on. Let's go.
You're singing to me baby in my head right now.
Come on.
She'll be screaming out when it all goes down.

Just leave with me now. Say the word and we'll go. We can go.
I'll be your teacher. I'll show you the ropes.
You'll see a side of love you've never known.
I can see it going down, going down.

In my head I see you all over me.
In my head you fulfill my fantasy.
In my head you'll be screaming more.
In my head it's going down.
In my head it's going down.

In my head I see you all over me. All over you.
In my head you fulfill my fantasy.
In my head you'll be screaming more.
In my head it's going down.
In my head it's going down.
In my head."
Midsummer Madness,88rising,"[Joji:]
Last night, I lost all my patience
You were fucked up, I was wasted
Midsummer madness
I can't take it no more, no more
Fuck the ru-u-u-ules
Ru-u-u-ules
Ru-u-u-u-oh
Fuck the ru-u-u-ules
Ru-u-u-ules
Ru-u-u-u-oh

[AUGUST 08:]
Make it make sense
Make it make sense, I
Can't hide a heart in a black tint, I
You were off the bullshit and the tablets
Under 21, both savage
All these blurry nights feel the same to me
Heart full of hate, no vacancy
Only one you gonna to blame when it's over
Can't look me in my eyes when you sober
Hey, I'm the one you call when you feel alone
Running up a check just to help you cope
I just want to live in the moment
You just want to fight cause you lonely
Tryna see a milly then be really up
Rockstar crash in my Bentley truck
You need all my love
You've got all the love

[Joji:]
Last night, I lost all my patience
You were fucked up, I was wasted
Midsummer madness
I can't take it no more, no more
Fuck the ru-u-u-ules
Ru-u-u-ules
Ru-u-u-u-oh
Fuck the ru-u-u-ules
Ru-u-u-ules
Ru-u-u-u-oh

[Rich Brian:]
Uh, ayy, ayy, uh
Been a minute since I heard you wanna stay as friends
I'll learn from my mistakes, you make me want to learn again
I don't really see the problem, it's a risk I wanna take
You say ""let's see where it goes"" but I don't really wanna wait
Ayy, look and listen up
You've been smiling when we fuck
Let's not even think about it, we ain't gotta talk a lot
Make it hotter than the summer, I'll stay with you when it's not
Put the slow jams on, I wanna see you make it pop, ayy
Moving all around the bed like we just toss and turn, ayy
Playin' with the fire, I don't care if I get burned, ayy
I'ma treat you good like you've been waiting for your turn, ayy
Nothing in the universe feel better than your tongue, ayy
'Bout to go home, I know you finna come with
I'm playing these games like a pimp on the strip
Conversations late night about how we gonna live
I don't got the answer to it, all I'm finna say is...

[Joji (DZ):]
Fuck the ru-u-u-ules
Ru-u-u-ules
Ru-u-u-u-oh
Fuck the ru-u-u-ules (ayy, gang, gang)
Ru-u-u-ules (ayy, gang, gang)
Ru-u-u-u-oh (yeah)

[DZ:]
Áï∂ÂÖâÁÅëÈÄ≤‰∫Ü white Porsche
I never felt so good
Call me DJ Knowknow, oh-oh no
Êí≠ÊîæÂàóË°®Ê≠åÂæàÂ§†
‰Ω†ÈªûÈ†≠ÊàëÂøÉË£°ÊúÉÊªøË∂≥
ÂçöÁâ©È§®Áµ¶‰∫ÜÊõ¥Â§öÊÑüÊÇü
Âú®Â§©ÊñáÂè∞ÂçäÂ±±ÈÅìÊº´Ê≠•
ÊãºLAÂ§úÊôØÁöÑÁâàÂúñ
Fuck the rules
Ë∑ùÈõ¢‰∏çÊòØÂïèÈ°å, I know
ÁÇ∫‰∫ÜÈÄô‰∏ÄÂàªÁöÑfeelÊàëÂÄºÂæóÈ£õÈÇ£È∫º‰πÖ
She lookin' so pretty, I wanted a kiss
Êääbeautiful memories Â≠òÂÖ•ÊàëÁöÑiPhone X
I,I,I hope 24 hours can become 48
ÁúãÊó•ËêΩ Á≤âÁöÑÂ§© ÊúâËóçÊúà‰∫ÆÈô™
ÊÉ≥Ë¶ÅÊìÅÊä± ‰Ω†Âú®ÊàëÈúÄË¶ÅÂâçÁµ¶
ÈôΩÂÖâÊòéÂ™öÔºåÊàë‰∏çÂú®‰πé
Sunny gone, I don't care, you're my sunshine babe

[Joji:]
I don't feel control
Better on my own
I'm used to being so gone for way too long
Long, long, long
[NIKI:]
Rules, rules, rules
Rules, rules, rules"
See The Light,Hillsong Worship,"Arise my soul
Remember this
He took my sin
And He buried it

No longer I who live
Now Jesus lives in me
For I was dead in sin
But I woke up to see the light

No I won't boast
But in the cross
That saved my soul
All else is loss

The grip of fear
Has no hold on me
So where, oh, death
Where is your sting

No longer I who live
Now Jesus lives in me
For I was dead in sin
But I woke up to see the light

All, all of this for your glory
All, all of this for your glory
All, all of this for your glory
All, all of this for your glory
All, all of this for your glory
All, all of this for your glory

No longer I who live
Now Jesus lives in me
For I was dead in sin
But I woke up to see the light

All, all of this for your glory
All, all of this for your glory
All, all of this for your glory
All, all of this for your glory"
Goodness Of God,One Sonic Society,"I love You, Lord, oh, Your mercy never fails me
All my days I've been held in Your hands
From the moment that I wake up until I lay my head
I will sing of the goodness of God

All my life You have been faithful
And all my life You have been so, so good
With every breath that I am able
I will sing of the goodness of God

I love Your voice, You have led me through the fire
In darkest nights You are close like no other
I've known You as a father, I've known You as a friend
And I have lived in the goodness of God

And all my life You have been faithful
Yes, all my life You have been so, so good
With every breath that I am able
Oh, I will sing of the goodness of God

Your goodness is running after, it's running after me
Your goodness is running after, it's running after me
With my life laid down, I'm surrendered now, I give You everything
Your goodness is running after, it's running after me
Your goodness is running after, it's running after me
Your goodness is running after, it's running after me
With my life laid down, I'm surrendered now, I give You everything
Your goodness is running after, it's running after me, oh-oh

And all my life You have been faithful
Yes, all my life You have been so, so good
With every breath that I am able
Yes, I will sing of the goodness of God
And all my life You have been faithful
And all my life You have been so, so good
With every breath that I am able
Oh, I will sing of the goodness of God
Yes, I will sing of the goodness of God"
none,none,none
No Me Deja Ir (Love Won't Give Up),Elevation Worship,"Nada fuera de tu amor satisface
Ning√∫n error que de ti me separe
No se acaba mi esperanza
Eres fiel T√∫, eres fiel Dios

La cruz es mi confianza de vivir
Tu amor no me deja ir
T√∫ c√∫mpliras cada promesa en mi
Tu amor no me deja ir

Me llamas de nuevo a donde me encontraste
Aunque me perd√≠ nunca me abandonaste
No se acaba mi esperanza
Eres fiel T√∫, eres fiel Dios

La cruz es mi confianza de vivir
Tu amor no me deja ir
T√∫ c√∫mpliras cada promesa en mi
Tu amor no me deja ir
Tu amor no me deja ir

No importa donde yo voy
Me encuentro en tu amor
Cuando angustiado estoy
No me soltar√°s
No importa donde yo voy
Me encuentro en tu amor
Cuando angustiado estoy
No me soltar√°s
No importa donde yo voy
Me encuentro en tu amor
Cuando angustiado estoy
No me soltar√°s
No importa donde yo voy
Me encuentro en tu amor
Cuando angustiado estoy
No me soltar√°s

La cruz es mi confianza de vivir
Tu amor no me deja ir
T√∫ c√∫mpliras cada promesa en mi
Tu amor no me deja ir
La cruz es mi confianza de vivir
Tu amor no me deja ir
T√∫ c√∫mpliras cada promesa en mi
Tu amor no me deja ir
Tu amor no me deja ir"
none,none,none
none,none,none
none,none,none
Sorry (Homecoming Live),Beyonce,"Let me hear you sing

Sorry, I ain't sorry
Sorry, I ain't sorry
I ain't sorry, nigga, nah
Sorry, I ain't sorry
Sorry, I ain't sorry
I ain't sorry

He trying to roll me up (I ain't sorry)
I ain't picking up (I ain't sorry)
I'm headed to the club (I ain't sorry)
I ain't thinking 'bout you (I ain't sorry)
Me and my ladies sip my D'USS√â cup
I don't give a fuck, chucking my deuces up
Suck on my balls, pause

Bugaboos
I need a good laugh
You, make me laugh

(Bugaboos)
Oh, oh, oh, oh, oh, oh, oh, oh
Ah, ah, ah, ah, ah, ah, ah, ah

Did that make us laugh?
Think about it

(Bugaboos)
Bzzz, bzz, bzz, bzz, bzz

Fall in line
Ladies?
Ladies?
Ladies?
Are we smart?
Are we strong?
Have we had enough of the bullshit?
Show 'em

(Suck, on my balls)
(Suck on my balls)
(Suck on my balls, bitch)
(Suck, on my balls)
(Suck on my balls)
(Hell nah)
(Hell nah)

Middle fingers up (Middle fingers up)
Put them hands high (Put them hands high)
Wave it in his face (Wave it in his face)
Tell him, boy, bye (Tell, tell 'em boy bye)
Tell him, boy, bye (Tell, tell 'em boy bye)
Tell him, boy, bye (Tell, tell 'em boy bye)
Tell him, boy, bye (Tell, tell 'em boy bye)
(I ain't thinkin' about you, hooah!)

Middle fingers up, put them hands high
Wave it in his face, tell him, boy, bye
Tell him, boy, bye, boy, bye
Middle fingers up, I ain't thinking 'bout you

I ain't sorry
I ain't sorry
I ain't sorry
I ain't thinking 'bout you
I ain't sorry
I ain't sorry
I ain't sorry
No, no, hell nah

Now you want to say you're sorry
Now you want to call me crying
Now you gotta see me wilding
Now I'm the one that's lying
And I don't feel bad about it
It's exactly what you get
Stop interrupting my grinding

I can't believe I believed everything we had would last
So young and naive for me to think she was from your past
Foolish of me to dream while you cheat (With what?)
With loose women
It took me some time, but now I am strong

Because I realized I got
Me, myself, and I, that's all I got in the end
That's what I found out
And it ain't no need to cry
(I see you, how did you do that so fast?)
(She has on my outfit ya'll)
Sang it
Me, myself, and I, that's all I got in the end
That's what I found out
And it ain't no need to cry
And it ain't no need to cry
I took a vow that from now on
I'm gon' my own best friend

Right ladies?
Yes

I left a note in the hallway
By the time you read it, I'll be far away
I'm far away
But I ain't fucking with nobody
Let's have a toast to the good life
Suicide before you see this tear fall down my eyes
Me and my baby, we gon' be alright
We gon' live a good life
Big homie better grow up
Me and my whoadies 'bout to stroll up
I see them boppers in the corner
They sneaking out the back door
He only want me when I'm not there
He better call Becky with the good hair
He better call Becky with the good hair"
Crazy In Love (Fifty Shades Of Grey Version),Beyonce,"Uh oh, uh oh, uh oh, oh no no
Uh oh, uh oh, uh oh, oh no no
Uh oh, uh oh, uh oh, oh no no
Uh oh, uh oh, uh oh, oh no no

You got me looking, so crazy my baby
I'm not myself lately I'm foolish, I don't do this
I've been playing myself, baby I don't care
Baby your love's got the best of me
Your love's got the best of me
Baby your love's got the best of me
Baby you're making a fool of me
You got me sprung and I don't care who sees
Cause baby you got me, you got me, oh you got me, you got me

I look and stare so deep in your eyes
I touch on you more and more every time
When you leave I'm begging you not to go
Call your name two or three times in a row
Such a funny thing for me to try to explain
How I'm feeling and my pride is the one to blame
And I still don't understand
Just how your love could do what no one else can

Got me looking so crazy right now
Your love's got me looking so crazy right now
Got me looking so crazy right now
Your touch got me looking so crazy right now (your love)

Hoping you'll save me right now
Your kiss got me hoping you'll save me right now (your love)
Looking so crazy in love
Got me looking, got me looking so crazy in love
Got me looking so crazy right now
Your love's got me looking so crazy right now
Got me looking so crazy right now
Your touch got me looking so crazy right now

Got me hoping you'll save me right now
Your kiss got me hoping you'll save me right now (your love)
Looking so crazy in love
Got me looking, got me looking so crazy in love

Uh oh, uh oh, uh oh, oh no no
Uh oh, uh oh, uh oh, oh no no
Uh oh, uh oh, uh oh, oh no no
Uh oh, uh oh, uh oh, oh no no"
Bow Down (Homecoming Live),Beyonce,"Coachella
Thank ya'll so much for having us once again
I'm so honored to be on this stage tonight
And this next song is for all of my queens
Do we have any beautiful queens in the house tonight?
I want you to sing along if you know the lyrics
It's called Bow Down

I know when you were little girls
You dreamt of being in my world
Don't forget it, don't forget it
Respect that, bow down bitches
I took some time to live my life
But don't think I'm just his little wife
Don't get it twisted, get it twisted
This my shit, bow down bitches

Bow down, bow bow bow down
Bow down, bow bow bow down
Bow down, bow bow bow down
I'm so crown, bow bow bow down
H-town

I'm out that H-town
Coming, coming down
I'm coming down dripping candy on the ground
Coming down dripping candy on the ground"
