title,arist,lyrics
"Take Me Home, Country Roads",John Denver,"Almost heaven, West Virginia, Blue Ridge Mountains, Shenandoah River
Life is old there, older than the trees, younger than the mountains, blowing like a breeze

Country roads, take me home to the place I belong
West Virginia, mountain mamma, take me home, country roads

All my memories gather round her, miner's lady, stranger to blue water
Dark and dusty, painted on the sky, misty taste of moonshine, teardrop in my eye

Country roads, take me home to the place I belong
West Virginia, mountain mamma, take me home, country roads

I hear her voice in the morning hour, she calls me, the radio reminds me of my home far away
And driving down the road I get a feeling that I should have been home yesterday, yesterday

Country roads, take me home to the place I belong
West Virginia, mountain mamma, take me home, country roads

Country roads, take me home to the place I belong
West Virginia, mountain mamma, take me home, country roads

Take me home, down country roads
Take me home, down country roads"
It's My Life,Bon Jovi,"This ain't a song for the broken-hearted
No silent prayer for the faith-departed
I ain't gonna be just a face in the crowd
You're gonna hear my voice
When I shout it out loud

It's my life
It's now or never
I ain't gonna live forever
I just want to live while I'm alive
(It's my life)
My heart is like an open highway
Like Frankie said,
""I did it my way.""
I just wanna live while I'm alive
It's my life

This is for the ones who stood their ground
For Tommy and Gina who never backed down
Tomorrow's getting harder make no mistake
Luck ain't even lucky
Got to make your own breaks

It's my life
And it's now or never
I ain't gonna live forever
I just want to live while I'm alive
(It's my life)
My heart is like an open highway
Like Frankie said,
""I did it my way.""
I just want to live while I'm alive
'Cause it's my life

Better stand tall when they're calling you out
Don't bend, don't break, baby, don't back down

It's my life
And it's now or never
'Cause I ain't gonna live forever
I just want to live while I'm alive
(It's my life)
My heart is like an open highway
Like Frankie said,
""I did it my way.""
I just want to live while I'm alive

It's my life
And it's now or never
'Cause I ain't gonna live forever
I just want to live while I'm alive
(It's my life)
My heart is like an open highway
Like Frankie said,
""I did it my way.""
I just want to live while I'm alive
'Cause it's my life!"
Bohemian Rhapsody,Panic! At The Disco,"Is this the real life?
Is this just fantasy?
Caught in a landslide
No escape from reality

Open your eyes
Look up to the skies and see
I'm just a poor boy, I need no sympathy
Because I'm easy come, easy go
Little high, little low
Anyway the wind blows, doesn't really matter to me, to me

Mama, just killed a man
Put a gun against his head
Pulled my trigger, now he's dead
Mama, life had just begun
But now I've gone and thrown it all away

Mama, ooh
Didn't mean to make you cry
If I'm not back again this time tomorrow
Carry on, carry on
As if nothing really matters

Too late, my time has come
Sent shivers down my spine
Body's aching all the time
Goodbye everybody, I've got to go
Gotta leave you all behind and face the truth

Mama, ooh
I don't wanna die
I sometimes wish I'd never been born at all

I see a little silhouette of a man
Scaramouche, Scaramouche, will you do the Fandango?
Thunderbolt and lightning
Very, very frightening me
(Galileo) Galileo
(Galileo) Galileo
Galileo Figaro
Magnifico

I'm just a poor boy
Nobody loves me
He's just a poor boy
From a poor family
Spare him his life from this monstrosity

Easy come, easy go, will you let me go?
Bismillah! No, we will not let you go (Let him go!)
Bismillah! We will not let you go (Let him go!)
Bismillah! We will not let you go (Let me go!)
Will not let you go (Let me go!)
Never, never let you go
Never let me go, oh
No, no, no, no, no, no, no
Oh, mama mia, mama mia (Mama mia, let me go)
Beelzebub has a devil put aside for me, for me, for me

So you think you can stone me and spit in my eye?
So you think you can love me and leave me to die?
Oh, baby, you can't do this to me, baby
Just gotta get out, just gotta get right outta here

(oh, yeah, oh, yeah)

Nothing really matters
Anyone can see
Nothing really matters
Nothing really matters to me

Anyway the wind blows"
E.D.K.H.,Upchurch,"Tell 'em what's up fuggin'
Woo, yeah
Fuckin' cornbread Conner over there 'bout to fuckin' sling some mud boe

Fuck 'em all, got a goose in my glovebox
I'm wearin' Ariat's and I don't even wear socks
I tell them boys in the fancy ol' truck, hook 'em up
Square body when I fuckin' square up (Woo)
Boot scootin' buggy in my knee cap jeans
You got a gun but you're scared of me
I be on a beat and I don't even grow no tomatoes
You can't touch me like a really hot ass potato (Woo)
Walk around with my neck muscles flexed out
Pocket full of money and some goddamn rainbow trout
Fuck fishin' license I don't need that
Hit the game warden smack dab in his little gonads
I'm lit'r than a truck on fire, swervin'
Hotter than a distillery full of bourbon
Nice twenty-two by fourteens, I hope you curb 'em
Get some bullet holes, son-of-bitches, do you some learnin', fuggin'
Mountain Dew-Dew on the haters like a commode
Deliver Bigfoot dust, that's why I go beast mode
And they ain't gonna catch me, camera man too slow
To be redneck'r than me, there ain't no loophole
Pullin' up leakin' oil 'cause I'm slicker
I must be a Husqvarna, I'm a tad big thicker
Got a tootsie pop shawty, all I wanna do is lick her
I go hard, not even my own pecker is stiffer
I got a friend with a mullet, a friend with a musket
A friend with a chicken and some corn in a bucket
Every time I see wood all I wanna do is chuck it
Bonfire bigger than a rich guys house, fuggin'
Rubber baby buggy bumpers, Alan Jackson thumpin' in my uncle brother's Hummer
Dip stains on my steerin' wheel and all my covers
Santa Clause doesn't know but Rudolf got it comin'
Last year I asked for a '58 Biscayne
All I got was an orange and a pack of ROGAINE
You give me all that coal, you ain't give me propane
Now I got beef, I'm about to steal your sleigh
I listen to country music even when I sleep
I walk it like I talk it, I got boots in my teeth
My station wagon got a Jesus fish
Cut fender wells on 40's, bitch
Big lift kit 'cause I'm closer to God
Plus he gave me a ding-dong the size of an Eddie Bauer rod
Skeet shootin' with some buddies from my hometown
Pistol packin' that kaboom when we go downtown
'Cause the weirdos on the corner look like sewer rats
Seen a dude in plaid shorts shit his pants, that's a fuckin' fact
I wasn't even high, I ain't even drink Jack
But that fella who pooped prolly coulda used a tater sack
Eww diarrhea in his Air Force 1's
If he was wearin' Tony Lamas it wouldn't have happened to him
Alright back to the cool shit, like I was sayin'
I want a mullet so long that it touches the pavement
I need a Dukes of Hazard car so I can smash all the Daisys
But like not the cousin ones, I mean like non-blood related
Bitch I'm Lacquer Thinner Larry, sweeter than a blackberry
Bald-ass head but my nipples still hella hairy
Lookin' like a dreamcatcher on a set of man titties
I'm a country boy, I don't fuck with the city (Yeah)
Yeah, I'm a country boy, Morgan Wallen on the speakers
Ridin' through town steady wakin' up the tweekers
Lacquer

Tell 'em what it is Bench Seat Bobby
Guns, moonshine, and weed's all you need, boe
Might be a little dust on this bottle fuggin'

Slim note Jimmy though I drink like Buffett
I've been chillin' with the bitches, 'bout a couple hundred dozen
They pour the Jim Beam all up in my gullet
Tryna get me drunk so they can play with my mullet
Ridin' in the Camry son, I rip the E-brake
Take it to the curb slidin' sideways (Skrrt)
Then I turn it around and I take it back to my place
Put her ass on the couch then we hit a three way, woah (Damn)
Bitch I'm patriotic, bleed red, white, and blue
If you ain't about this country well motherfuck you
Your cousin hit me up, I nutted, cashew
Think I caught something, hold up, *ah choo*
Ain't nothin', ain't muckin', I stay Sam Huntin'
Skinny jeans with Cope rings on you fake motherfuckers
Big shit and big rigs rather be like truckers
Lift kits and bit tits, eat a bitch like supper
I hide my face so the Clintons can't find me
Next day you'll find me suicided from a pine tree
I turn around to see what's behind me
A fat booty chick, plump lips, a dime piece (A huge bitch)
I'm here, I'm there, elf on the shelf
Got bars by the load tucked under my belt
Tongue kissin' your bitch, dick her down then she melt
One more thing, Epstein didn't kill himself
Bobby"
none,none,none
Nobody Loves Me Like You,Chris Tomlin,"Morning
I see you in the sunrise every morning
It's like a picture that you've painted for me
A love letter in the sky

Story
I could've had a really different story
But you came down from heaven to restore me
Forever saved my life

Nobody loves me like you love me Jesus
I stand in awe of your amazing ways
I worship you as long as I am breathing
God you are faithful and true
Nobody loves me like you

Mountains
You're breaking down the weight of all my mountains
Even when it feels like I'm surrounded
You never leave my side

Nobody loves me like you love me Jesus
I stand in awe of your amazing ways
I worship you as long as I am breathing
God you are faithful and true
Nobody loves me like you

Oh what a song to sing
Oh what a song to sing
Oh what a song to sing
Oh what a song my heart keeps singing
Oh what a song to sing
Oh what a song to sing
Oh what a song to sing
Jesus you love me
And I love you God

Nobody loves me like you love me Jesus
I stand in awe of your amazing ways
I worship you as long as I am breathing
God I will worship you
Forever worship you

Nobody loves me like you love me Jesus
I stand in awe of your amazing ways
I worship you as long as I am breathing
God you are faithful and true
Nobody loves me like you

Nobody loves me like you
Nobody loves me like you"
none,none,none
Yayo,Phyno,"[Chorus:]
(Yayo)
Eka pasa here
Ega tokwa here (pent house)
Ndia nweta kwa gi, ega tokwa here (yayo)
Eka pasa here (yayo)
Ega tokwa here (yayo)
And ebe obuna ayin kpo-yen hana botcha there (yayo)
Yo boy hana kposimu phyno yayo (yayo)
And nobody moving till I say so (say so)
As oyen guy hana kposimu phyno yayo (yayo)
Hann, and nobody moving till I say so (say so)

Hann, ayin di mmadu ato,
That's how we roll (yayo)
Got a lot of niqqas in ma perol (yayo)
Emana ayin nagba kuruso na main-road (yayo)
Kita eyimpasacha before okwa ten toes (yayo)
Asim na adim hard na mme nwero soul (yayo)
Maka adama agu high pitch ka wande coal (yayo)
Some asi na aname ewun ka oku ha gbayen petrol (yayo)
Nekwa black, and black and black that's how we roll (yayo)
Henn, nwanne ha gwam ha but them no agree (yayo)
Si na ejem imt je nweta rap degree (yayo)
Now ogbe ninee ema busi part of ma family tree (yayo)
Akwum nasu simu lock the gate down and tufuo the key (yayo)
Haa, emazi muna chimu sso I never walk alone (yayo)
Nekam nzie gbu the game ewerum atu (yayo)
Ewerum cloak (yayo)
Why this boys matching me (yayo)
They can't reach me maka ewerum phone (yayo)
[?] my friends sihan kupu now I'm in ma zone (yayo)

[Chorus]

Hann, dianyi kpam ko ewotaro the way nsia ekonja (yayo)
Hapu old ways I'm off the guard [?]
The difference between me and them
I'm heading to the hall of fame
They are stock in the hall of shame nwa (yayo)
Speak now or forever hold your peace nwa (yayo)
Han wen the power hage turnum to the least nwa (yayo)
Mana egum tuwo henje tiyen on repeat (yayo)
Please phyno preach ebu the priest, nwa (yayo)
Since I broke the rule it can never be fixed
And echom okwu nu uka nga ebuyen gi afia without recit (yayo)
O, mmu na unu na seat ebulu nkegi bia mpia the [?]
As long as I'm running the game no two f's about your list (yayo)
Hann, hadi anonymous hann, hana acho han cho (yayo)
Hana feel na ewro part 2 mana hana koya ako (yayo)
Ofu mpku nonu mkpe halu yamme ha je asom aso (yayo)
So that umu afum ife hana lu, kwa hana zom azor nwa (yayo)
Eyes and god nwanne hapu, kwa luck (yayo)
If your time never come yet, jekwa golu the clock (yayo)
Ehen cholu bu the change so I have to putting words in ma mouth
Ma tummy is ma season [?] I can feel ma rain coming nnemu (yayo)
Hey, ejiro ofu ubosi alu round-about (yayo)
Simu buo rap till I'm the rapper, rappers rap about (yayo)
Henn, kita ha simu na emegamu well (yayo)
Back then ha fum ka mmu nnor na studio, han jim na eme eyen egwu, hasim

[Chorus]

And nobody moving till I say so (yayo)
Hahn, nwa belu ebulu o (yayo)
Hehn, oyen guy from the block abusim J-Lo (yayo)
Hann (pent house)
Hahn
Ndi buna acho si naram obi o (yayo)
Ofudu si na otu the boy sia ku fa na gba han obi-o (yayo)
Maka ndia kpotu (yayo)
Mmuwa bu onye na ma akpata obi (yayo)
Cos I leave him umu afor ninee na kasimu obi (yayo)
I been dey hustle all ma life (yayo)
Now I deserve the glory (yayo)
Kita hana kwusi ugwo nisim now ka hana kwusi diary (yayo)
Ufuodu na cho ka han wen double ka han wey gbam query (yayo)
Mana okum kan newun nasu ka gen on a dialy
Hann, I made ma mind ma cd never forget me (yayo)
And when I'm gone, I know they will write a story about me (yayo)
All of them they rep me ndi newe hana ewe (yayo)
Nwanne si han gamu nasu ewem obi abuo si yan get behind me (yayo)
Hann, asi na mme regret nsi ha watch me (yayo)
Kita hadisim ka nni afifie everyday them they lunch me (yayo)
Kita nne ene ayan na mirror all I see is fresh me (yayo)
Back then han fum ka anom na studio ha ejinumu menne eyen agwu, asim (yayo)

Eka pasa here (henn)
Ega atokwa here (yayo)
Ndia nwetekwa gi, ega atokwa here (yayo)
Ekana atokwa tu ayin hapu gokwa here (yayo)
Nwanne he zolu na mbgago ayin na kpoti there (yayo)
Ahan che na ahan di hot ayin kana eleoku here (yayo)
Ayin na agwa han the fact hana konu here (yayo)
Emana yayo bu the man ona achi achi here (yayo)
Phyno (yayo)
Major banks (yayo)"
Boys,Lizzo,"Hey boy
What you say boy
You tryna play coy
Like a game boy
Hit my phone boy
Is you home boy
Are you alone boy
Come give me dome boy
Got a boy with the grease
A boy in the streets
A boy on his knees
He a man in the sheets
Sheesh, it's all Greek to me
Got this boy speaking Spanish, ai papi

Baby I don't need you
I just wanna freak you
I heard you a freak too
What's two plus two
(Four, three, two, ow!)

Boy
Boy
Boy
(Make a girl go crazy)
(Four, three, two, ow!)
Boy
Boy
Boy
(Make a girl go crazy)
(Four, three)

I like big boys, itty bitty boys
Mississippi boys, inner city boys
I like the pretty boys with the bow tie
Get your nails did, let it blow dry
I like a big beard, I like a clean face
I don't discriminate, come and get a taste
From the playboys to the gayboys
Go and slay boys, you my fave boys

Baby I don't need you
(Oh I don't need)
I just wanna freak you
(Oh I want it now)
I heard you a freak too
(That's right)
What's two plus two
(Four, three, two, ow!)

Boy
Boy
Boy
(Make a girl go crazy)
(Four, three, two, ow!)
Boy
Boy
Boy
(Make a girl go crazy)
(Four, three, two, ow!)

(Four, three, two, ow!)
Boy
Boy
Boy
(Make a girl go crazy)
(Four, three, two, ow!)
Boy
Boy
Boy
(Make a girl go crazy)
(Ow!)"
none,none,none
Beautiful In White,Westlife,"Not sure if you know this
But when we first met
I got so nervous I couldn't speak

In that very moment
I found the one and
My life had found its missing piece

So as long as I live I'll love you
Will have and hold you
You look so beautiful in white
And from now to my very last breath
This day I'll cherish
You look so beautiful in white
Tonight

What we have is timeless
My love is endless
And with this ring I say to the world

You're my every reason
You're all that I believe in
With all my heart I mean every word

So as long as I live I'll love you
Will have and hold you
You look so beautiful in white
And from now to my very last breath
This day I'll cherish
You look so beautiful in white
Tonight

You look so beautiful in white
So beautiful in white
Tonight

And if our daughter's what our future holds
I hope she has your eyes
Finds love like you and I did
But when she falls in love we'll let her go
I'll walk her down the aisle
She'll look so beautiful in white

You look so beautiful in white

So as long as I live I'll love you
Will have and hold you
You look so beautiful in white
And from now to my very last breath
This day I'll cherish
You look so beautiful in white
Tonight

You look so beautiful in white
Tonight"
Diamond Heart,Alan Walker & Sophia Somajo,"Hello, sweet grief
I know you will be the death of me
Feel like the morning after ecstasy
I am drowning in an endless sea

Hello, old friend
Here's the misery that knows no end
So I'm doing everything I can
To make sure I never love again

I wish that I did not know
Where all broken lovers go
I wish that my heart was made of stone
Yeah, if I was bulletproof
I'd love you black and blue
If I was solid like a jewel

If I had a diamond heart
Oh, oh
I'd give you all my love
If I was unbreakable
If I had a diamond heart
Oh, oh
You could shoot me with a gun of gold
If I was unbreakable

I'd walk straight through the bullet
Bend like a tulip
Blue-eyed and foolish
Never mind the bruises
Into the fire
Breakin' through the wires
Give you all I've got

(If I had a diamond heart)
I'd walk straight through the dagger
Never break the pattern
Diamonds don't shatter
Beautiful and battered
Into the poison
Cry you an ocean
Give you all I've got

Goodbye, so long
I don't know if this is right or wrong
Am I giving up where I belong?
'Cause every station is playing our song

Goodbye, my love
You are everything my dreams made of
You'll be Prince and I'm the crying dove
If I only were unbreakable

I wish that I did not know
Where all broken lovers go
I wish that my heart was made of stone
Yeah, if I was bulletproof
I'd love you black and blue
If I was solid like a jewel

If I had a diamond heart
Oh, oh
I'd give you all my love
If I was unbreakable
If I had a diamond heart
Oh, oh
You can shoot me with a gun of gold
If I was unbreakable

I'd walk straight through the bullet
Bend like a tulip
Blue-eyed and foolish
Never mind the bruises
Into the fire
Breakin' through the wires
Give you all I've got

(If I had a diamond heart)
I'd walk straight through the dagger
Never break the pattern
Diamonds don't shatter
Beautiful and battered
Into the poison
Cry you an ocean
Give you all I've got

La-la-la-la-la
La-la-la-la-la-la
La-la-la-la-la-la
La-la-la-la-la

La-la-la-la-la
La-la-la-la-la-la
I'd give you all my love
If I was unbreakable
La-la-la-la-la
La-la-la-la-la-la
You can shoot me with a gun of gold
If I was unbreakable

I'd walk straight through the bullet
Bend like a tulip
Blue-eyed and foolish
Never mind the bruises
Into the fire
Breakin' through the wires
Give you all I've got

(If I had a diamond heart)
I'd walk straight through the dagger
Never break the pattern
Diamonds don't shatter
Beautiful and battered
Into the poison
Cry you an ocean
Give you all I've got"
none,none,none
